sub_id,age,class_year,gender,static_con,causal_con,soc_con,dir_con,contrDir_con,correct_soc_choice,test_soc_choice,intuit_soc_choice,final_soc_choice,ordered_dir_choice,test_dir_choice,intuit_dir_choice,final_dir_choice,ordered_contrDir_choice,test_contrDir_choice,intuit_contrDir_choice,final_contrDir_choice,memory_check,test_rating_correct,test_rating_incorrect,intuit_test_rating_correct,intuit_test_rating_incorrect,final_test_rating_correct,final_test_rating_incorrect,direction_rating_SOCconsistent,direction_rating_inverse,intuit_direction_rating_SOCconsistent,intuit_direction_rating_inverse,final_direction_rating_SOCconsistent,final_direction_rating_inverse,control_rating_ordered,control_rating_inverse,intuit_control_rating_ordered,intuit_control_rating_inverse,final_control_rating_ordered,final_control_rating_inverse,blicketness
13,18,2026,non-binary,2,1,1,7,1,left,unsure,right,right,left,right,,right,left,neither,,neither,1,0,0,0,0,0,0,40,80,,,40,80,10,10,,,10,10,2
14,19,2026,woman,4,4,2,3,2,left,left,,left,left,both,,both,right,both,,both,1,80,40,,,80,40,60,80,,,60,80,50,70,,,50,70,1
15,18,2026,man,4,3,2,4,1,left,left,,left,right,both,,both,left,both,,both,1,70,30,,,70,30,70,60,,,70,60,70,60,,,70,60,1
16,19,2025,man,1,4,1,5,1,left,left,,left,left,unsure,right,right,left,neither,,neither,1,60,40,,,60,40,50,60,40,60,40,60,20,20,,,20,20,1
17,18,2026,man,1,4,1,5,1,left,left,,left,left,both,,both,left,both,,both,1,90,10,,,90,10,75,90,,,75,90,80,70,,,80,70,1
18,20,2025,man,3,1,1,1,2,right,neither,,neither,left,neither,,neither,right,neither,,neither,1,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,2
19,18,2026,woman,4,1,1,7,1,left,left,,left,left,unsure,both,both,left,both,,both,1,60,45,,,60,45,35,20,40,25,40,25,30,20,,,30,20,1
20,22,2024,woman,1,4,1,5,1,left,neither,,neither,left,unsure,right,right,left,neither,,neither,1,40,40,,,40,40,40,50,40,50,40,50,0,0,,,0,0,2
21,19,2025,woman,2,1,1,7,1,left,neither,,neither,left,unsure,right,right,left,neither,,neither,1,0,0,,,0,0,0,50,0,50,0,50,0,0,,,0,0,2
22,19,2025,woman,3,2,1,2,1,right,both,,both,right,neither,,neither,left,left,,left,1,75,75,,,75,75,25,25,,,25,25,60,25,,,60,25,2
23,21,2024,non-binary,3,4,1,5,1,left,unsure,right,left,left,unsure,neither,neither,left,neither,,neither,2,0,60,0,60,0,60,30,20,,,30,20,20,20,,,20,20,1
24,19,2026,man,4,2,1,8,2,left,left,,left,right,unsure,both,both,right,right,,right,1,50,50,,,50,50,75,50,75,50,75,50,75,25,,,75,25,2
25,18,2026,woman,3,1,1,1,2,right,right,,right,left,left,,left,right,both,,both,1,100,10,,,100,10,100,0,,,100,0,100,100,,,100,100,2
26,19,2026,woman,2,4,1,3,2,right,right,,right,left,left,,left,right,right,,right,1,70,30,,,70,30,50,30,,,50,30,70,40,,,70,40,1
27,18,2026,woman,2,4,2,3,2,left,unsure,left,left,left,unsure,right,right,right,unsure,neither,neither,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,,50,50,2
28,19,2025,woman,4,3,2,4,1,left,left,,left,right,both,,both,left,both,,both,1,60,40,,,60,40,50,70,,,50,70,60,60,,,60,60,1
29,21,2024,woman,1,2,1,2,1,right,unsure,right,right,right,unsure,both,both,left,unsure,both,both,1,70,30,80,30,80,30,40,60,50,80,50,80,50,50,60,60,60,60,1
30,20,2026,man,2,2,1,8,2,left,left,,left,right,both,,both,right,both,,both,1,70,30,,,70,30,60,60,,,60,60,50,60,,,50,60,2
31,18,2026,man,4,2,2,8,2,right,both,,both,right,right,,right,right,right,,right,1,100,90,,,100,90,100,0,,,100,0,100,0,,,100,0,2
32,19,2026,man,3,3,1,6,2,left,both,,both,right,both,,both,right,both,,both,1,100,100,,,100,100,100,100,,,100,100,100,100,,,100,100,2
