sub_id,age,class_year,gender,static_con,causal_con,soc_con,dir_con,contrDir_con,correct_soc_choice,test_soc_choice,intuit_soc_choice,final_soc_choice,ordered_dir_choice,test_dir_choice,intuit_dir_choice,final_dir_choice,ordered_contrDir_choice,test_contrDir_choice,intuit_contrDir_choice,final_contrDir_choice,memory_check,test_rating_correct,test_rating_incorrect,intuit_test_rating_correct,intuit_test_rating_incorrect,direction_rating_SOCconsistent,direction_rating_inverse,intuit_direction_rating_SOCconsistent,intuit_direction_rating_inverse,control_rating_ordered,control_rating_inverse,intuit_control_rating_ordered,intuit_control_rating_inverse
28,18,2026,Woman,1,3,2,2,2,left,left,,left,right,unsure,left,left,right,neither,,neither,1,70,30,,,30,70,50,100,0,0,,
29,19,2025,Woman,2,4,1,1,2,left,left,,left,left,left,,left,right,right,,right,1,100,0,,,100,40,,,100,25,,
30,19,2025,Woman,2,4,2,1,2,right,neither,,neither,left,right,,right,right,unsure,right,right,1,50,50,,,25,50,,,50,50,75,50
31,20,2025,Woman,1,4,1,1,1,right,neither,,neither,left,right,,right,left,neither,,neither,1,65,35,,,45,75,,,35,10,,
32,18,2926,Woman,2,4,2,1,2,right,unsure,both,both,left,right,,right,right,unsure,neither,neither,1,50,50,50,50,30,90,,,50,50,50,50
33,19,2026,Woman,4,1,1,1,1,right,right,,right,left,unsure,right,right,left,neither,,neither,1,95,5,,,25,25,30,50,20,20,,
34,18,2026,Man,2,1,1,1,1,right,both,,both,left,neither,,neither,left,right,,right,1,55,55,,,45,45,,,45,55,,
35,19,2025,Man,4,3,1,1,2,left,right,,right,left,right,,right,right,unsure,left,left,1,20,20,,,20,20,,,,,10,10
36,19,2026,Man,3,3,2,1,1,left,left,,left,left,both,,both,left,both,,both,1,50,30,,,80,50,,,30,40,,
37,18,2026,Woman,1,2,1,2,1,left,both,,both,right,both,,both,left,both,,both,1,80,80,,,80,95,,,85,85,,
38,20,2025,Woman,4,1,2,1,1,left,unsure,left,left,left,right,,right,left,unsure,right,right,2,50,75,50,50,40,80,,,50,50,40,70
